Id,Layer_Type,Brand,Product_Name,Sleeve_Length,Weight,Material,Drying_Time,Breathability,Middle_Layer_Material,Middle_Layer_Weight,Middle_Layer_Breathability,Shell_Breathability,Shell_Waterproofing,Hard_Soft_Shell,Insulation_Weight,Insulation_Materials,Insulation_Waterproofing
0,BASE LAYER,Decathlon,Men's Hiking Synthetic SS T-Shirt MH500,Short Sleeved,142g (L),100% Polyester,Fast (Synthetic),High (4/5 stars),,,,,,,,,
1,BASE LAYER,Decathlon,Women's Hiking T-Shirt MH100,Short Sleeved,110g (M),100% Polyester,Very Fast,Standard (Moisture wicking),,,,,,,,,
2,BASE LAYER,Decathlon,Men's Trekking Merino Wool LS T-Shirt MT500,Long Sleeved,190g (L),"86% Merino Wool, 14% Polyamide",Moderate,Excellent (Natural fiber),,,,,,,,,
3,BASE LAYER,Decathlon,Men's Hiking T-Shirt MH100,Short Sleeved,130g (L),100% Polyester,Fast,Good (Moisture Management),,,,,,,,,
4,BASE LAYER,Decathlon,Women's Trekking Merino Wool T-Shirt MT500,Short Sleeved,125g (M),"86% Merino Wool, 14% Polyamide",Moderate,High (Anti-odor),,,,,,,,,
5,BASE LAYER,Decathlon,Men's Long-Sleeved Hiking T-Shirt MH500,Long Sleeved,175g (L),Polyester / Elastane mix,Fast,High,,,,,,,,,
6,BASE LAYER,Decathlon,Women's UV Protection Hiking LS T-Shirt MH100,Long Sleeved,150g (M),Polyester,Fast,High,,,,,,,,,
7,BASE LAYER,Decathlon,Men's Desert Trekking UV T-Shirt Desert 500,Long Sleeved,180g (L),Polyamide / Polyester,Extreme Fast,Maximum (Vented),,,,,,,,,
8,MIDDLE LAYER,Decathlon,Men's Hiking Fleece MH100,,,,,,Recycled Polyester Fleece,240g (L),Moderate (RET 7.5),,,,,,
9,MIDDLE LAYER,Decathlon,Women's Mountain Hiking Fleece MH500,,,,,,Polyester Grid Fleece,285g (M),High (Mesh underarms),,,,,,
10,MIDDLE LAYER,Decathlon,Men's Hiking Fleece MH500,,,,,,Polyester Fleece,335g (L),High (Micro-grid structure),,,,,,
11,MIDDLE LAYER,Decathlon,Women's NH500 Sherpa Fleece,,,,,,Sherpa Fleece (Polyester),450g (M),Low (Thick insulation focus),,,,,,
12,MIDDLE LAYER,Decathlon,Men's NH900 Sherpa Hiking Fleece,,,,,,Dense Sherpa Fleece,580g (L),Moderate (Warmth focus),,,,,,
13,MIDDLE LAYER,Decathlon,Men's MH120 Hiking Fleece Zip,,,,,,Recycled Micro-fleece,210g (L),High,,,,,,
14,MIDDLE LAYER,Decathlon,Women's MH120 Hiking Fleece,,,,,,Recycled Micro-fleece,190g (M),High,,,,,,
15,SHELL LAYER,Decathlon,Men's Waterproof Hiking Jacket MH500,,,,,,,,,High (RET 6),"25,000mm water column",Hard Shell (3-Layer),,,
16,SHELL LAYER,Decathlon,Women's Waterproof Jacket MH500,,,,,,,,,High (RET 6),"25,000mm water column",Hard Shell (3-Layer),,,
17,SHELL LAYER,Decathlon,Men's Hiking Softshell MT500,,,,,,,,,High (Air permeable),Water repellent (DWR),Soft Shell,,,
18,SHELL LAYER,Decathlon,Women's Hiking Softshell MT500,,,,,,,,,High,Water repellent (DWR),Soft Shell,,,
19,SHELL LAYER,Decathlon,Men's Rain Jacket MH100,,,,,,,,,Moderate (RET 12),"5,000mm water column",Hard Shell (2-Layer),,,
20,SHELL LAYER,Decathlon,Women's Rain Jacket MH100,,,,,,,,,Moderate (RET 12),"5,000mm water column",Hard Shell (2-Layer),,,
21,SHELL LAYER,Decathlon,Men's Ultra-Light Rain Jacket FH500,,,,,,,,,Extremely High (RET < 6),"10,000mm water column",Hard Shell (Lightweight),,,
22,INSULATION LAYER,Decathlon,Men's MT500 Down Puffer Jacket,,,,,,,,,,,,430g (L),Padding: 90% Down/10% Feather; Outer: Polyamide; Lining: Polyamide,Water repellent (DWR)
23,INSULATION LAYER,Decathlon,Women's MT500 Down Puffer Jacket,,,,,,,,,,,,380g (M),Padding: 90% Down; Outer: 100% Polyamide; Lining: Polyamide,Water repellent (DWR)
24,INSULATION LAYER,Decathlon,Men's Synthetic Padded Jacket MT100,,,,,,,,,,,,360g (L),Padding: 100% Polyester; Outer: Polyamide; Lining: Polyamide,Water repellent
25,INSULATION LAYER,Decathlon,Women's Synthetic Padded Jacket MT100,,,,,,,,,,,,330g (M),Padding: 100% Polyester; Outer: Polyamide; Lining: Polyamide,Water repellent
26,INSULATION LAYER,Decathlon,Men's Trekking Down Jacket MT900 (-18°C),,,,,,,,,,,,570g (L),Padding: 90% Down (800 CUIN); Outer: Polyamide; Lining: Polyamide,Water repellent
27,INSULATION LAYER,Decathlon,Men's Hooded Hybrid Jacket MT500,,,,,,,,,,,,410g (L),Padding: Synthetic (chest); Sleeves: Fleece; Outer: Polyester/Polyamide,Water repellent (chest area)
28,INSULATION LAYER,Decathlon,Women's Hooded Hybrid Jacket MT500,,,,,,,,,,,,370g (M),Padding: Synthetic; Outer: Polyamide mix; Lining: Polyamide,Water repellent
29,INSULATION LAYER,Decathlon,Men's Trekking 3-in-1 Jacket Travel 100,,,,,,Removable Fleece,N/A,Moderate,Moderate (RET 12),"2,000mm water column",Hard Shell,Varies (Fleece inside),Outer: Polyester; Inner: Polyester Fleece,Outer shell only
