osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags
171274855,,service,,,,,,0,"""service""=>""parking_aisle"",""surface""=>""asphalt"""
171274855,,service,,,,,,0,"""service""=>""parking_aisle"",""surface""=>""asphalt"""
171274855,,service,,,,,,0,"""service""=>""parking_aisle"",""surface""=>""asphalt"""
171274855,,service,,,,,,0,"""service""=>""parking_aisle"",""surface""=>""asphalt"""
252046425,,footway,,,,,,0,"""bicycle""=>""yes"",""horse""=>""yes"""
171274855,,service,,,,,,0,"""service""=>""parking_aisle"",""surface""=>""asphalt"""
252046425,,footway,,,,,,0,"""bicycle""=>""yes"",""horse""=>""yes"""
171536826,Strada delle Caserme,secondary,,,,,,6,"""maxspeed""=>""50"",""ref""=>""SP25"",""surface""=>""asphalt"""
171274855,,service,,,,,,0,"""service""=>""parking_aisle"",""surface""=>""asphalt"""
171536826,Strada delle Caserme,secondary,,,,,,6,"""maxspeed""=>""50"",""ref""=>""SP25"",""surface""=>""asphalt"""
252046425,,footway,,,,,,0,"""bicycle""=>""yes"",""horse""=>""yes"""
171536826,Strada delle Caserme,secondary,,,,,,6,"""maxspeed""=>""50"",""ref""=>""SP25"",""surface""=>""asphalt"""
708519150,,footway,,,,,,0,
708519148,,footway,,,,,,0,"""bicycle""=>""yes"",""footway""=>""crossing"",""horse""=>""yes"""
252046435,,footway,,,,,,0,"""bicycle""=>""yes"",""horse""=>""yes"",""mtb:scale""=>""0"",""smoothness""=>""bad"",""surface""=>""compacted"""
252046425,,footway,,,,,,0,"""bicycle""=>""yes"",""horse""=>""yes"""
171536826,Strada delle Caserme,secondary,,,,,,6,"""maxspeed""=>""50"",""ref""=>""SP25"",""surface""=>""asphalt"""
708519150,,footway,,,,,,0,
708519148,,footway,,,,,,0,"""bicycle""=>""yes"",""footway""=>""crossing"",""horse""=>""yes"""
708519150,,footway,,,,,,0,
708519150,,footway,,,,,,0,
708519150,,footway,,,,,,0,
708519150,,footway,,,,,,0,
93670030,Strada delle Viote,secondary,,,,,,6,"""lanes""=>""2"",""ref""=>""SP85"",""smoothness""=>""good"",""surface""=>""asphalt"""
708519149,,footway,,,,,,0,
708519150,,footway,,,,,,0,
93670030,Strada delle Viote,secondary,,,,,,6,"""lanes""=>""2"",""ref""=>""SP85"",""smoothness""=>""good"",""surface""=>""asphalt"""
708519149,,footway,,,,,,0,
708519150,,footway,,,,,,0,
93670030,Strada delle Viote,secondary,,,,,,6,"""lanes""=>""2"",""ref""=>""SP85"",""smoothness""=>""good"",""surface""=>""asphalt"""
708519149,,footway,,,,,,0,
708519149,,footway,,,,,,0,
708519149,,footway,,,,,,0,
258638354,,,,,,,,0,"""piste:difficulty""=>""advanced"",""piste:grooming""=>""classic;skating"",""piste:type""=>""nordic"""
366074402,,path,,,,,,0,
708519149,,footway,,,,,,0,
258638347,,,,,,,,0,"""piste:difficulty""=>""easy"",""piste:grooming""=>""classic;skating"",""piste:type""=>""nordic"""
186824263,,path,,,,,,0,
366074394,,track,,,,,,0,"""sac_scale""=>""hiking"",""tracktype""=>""grade3"""
366074402,,path,,,,,,0,
209021943,,path,,,,,,0,"""sac_scale""=>""hiking"""
258638354,,,,,,,,0,"""piste:difficulty""=>""advanced"",""piste:grooming""=>""classic;skating"",""piste:type""=>""nordic"""
258638347,,,,,,,,0,"""piste:difficulty""=>""easy"",""piste:grooming""=>""classic;skating"",""piste:type""=>""nordic"""
366074394,,track,,,,,,0,"""sac_scale""=>""hiking"",""tracktype""=>""grade3"""
